STANOX NO.,FULL NAME,CRS CODE,NR ROUTE
87706,CATERHAM,CAT,Sussex
88469,CATFORD,CTF,Kent
88311,CATFORD BRIDGE,CFB,Kent
78418,CATHAYDBS,,Wales
78420,CATHAYS,CYS,Wales
7238,CATHCART,CCT,Scotland
7580,CATHCART EAST JN,,Scotland
7578,CATHCART NORTH JN,,Scotland
7579,CATHCART WEST JN,,Scotland
16116,CATTAL,CTL,LNE
84123,CATTEWATER BITUMEN SDGS,,Western
84417,CAUSELAND,CAU,Western
3395,CAUSEWAYHEAD JUNCTION,,Scotland
43502,CAVERSWALL,,LNW
4030,CAWBURN JN,,Scotland
38327,CAWOODS FREIGHTLINER,,LNW
77093,CDIFF DOCKS CSTAL SHIPPING,,Wales
63618,CEDAR JN,,East Midlands
41408,CEFN VIADUCT,,Wales
41029,CEFN-Y-BEDD,CYB,Wales
14215,CEMETERY NORTH JN.,,LNE
64320,CEMMES ROAD,,Wales
798,CERBERE,CER,Non Britain
8736,CESSNOCK WATER VIADUCT,,Scotland
85595,CHACEWTER,,Western
57408,CHADDESDEN CURVE,,East Midlands
57301,CHADDESDEN SDGS,,East Midlands
57303,CHADDESDON SDGS FASTLINE,,East Midlands
57304,CHADDNRFL,,East Midlands
57302,CHADDSDN,,East Midlands
50405,CHADWELL HEATH,CTH,Anglia
29032,CHAFFERS LC (TMO),,LNW
51313,CHAFFORD HUNDRED,CFH,Anglia
70366,CHALFONT & LATIMER,CFO,LUL
51011,CHALKWELL,CHW,Anglia
74329,CHALLOW,,Western
8635,CHALMERSTON,,Scotland
8634,CHALMERSTON (FHH),,Scotland
785,CHAMBERY-CHALLES-LES-EAUX,CMC,Non Britain
86108,CHANDLERS FORD,CFR,Wessex
52219,CHANNELSEA JN,,Anglia
32547,CHAPEL-EN-LE-FRITH,CEF,LNW
83225,CHAPELTON,CPN,Western
25307,CHAPELTOWN,CLN,LNE
50107,CHAPPEL & WAKES COLNE,CWC,Anglia
83468,CHARD JN. S.B,,Western
83469,CHARDJN,,Western
68151,CHARFIELD,,Western
89408,CHARING,CHG,Kent
88397,CHARING CROSS (BALLAST),,Kent
89564,CHARING CROSSOVER (CTRL),XXB,HS1
74454,CHARLBURY,CBY,Western
3342,CHARLESTOWN JN,,Scotland
748,CHARLEVILLE-MEZIERES,CHV,Non Britain
88515,CHARLTON,CTN,Kent
88514,CHARLTON JUNCTION,,Kent
82303,CHARLTON MACKRELL,,Western
89417,CHART LEACON T&R.S.M.D,XEV,Kent
89445,CHARTHAM,CRT,Kent
33098,CHASSEN ROAD,CSR,LNW
7490,CHATELHERAULT,CTE,Scotland
89007,CHATHAM,CTM,Kent
89015,CHATHAM DOCKYARD,XXD,Kent
89014,CHATHAM DOCKYARD GBRF,,Kent
12109,CHATHILL,CHT,LNE
43042,CHATTERLEY VALLEY,,LNW
770,CHAUMONT,,Non Britain
32563,CHEADLE HULME,CHU,LNW
32397,CHEADLE JN,,LNW
32533,CHEADLE VILLAGE JUNCTION,,LNW
87678,CHEAM,CHE,Sussex
70319,CHEDDINGTON,CED,LNW
31503,CHEETHAM HILL JN,,LNW
32583,CHELFORD,CEL,LNW
32584,CHELFORD LOOP,,LNW
56627,CHELLASTON EAST JN,,East Midlands
50223,CHELMSFORD,CHM,Anglia
50220,CHELMSFORD ARBOUR LANE,,Anglia
50218,CHELMSFORD BRICK HOUSE XOV,,Anglia
50219,CHELMSFORD D.G.L,,Anglia
50221,CHELMSFORD RECP.,,Anglia
88495,CHELSFIELD,CLD,Kent
68079,CHELTENHAM LANSDOWN LOOP,,Western
68080,CHELTENHAM SIGNAL 422,,Western
68076,CHELTENHAM SPA,CNM,Western
76079,CHEPSTOW,CPW,Wales
47007,CHERRY HINTON,CYH,Anglia
29162,CHERRY TREE,CYT,LNW
89740,CHERTNDPT,,Kent
86012,CHERTSEY,CHY,Wessex
51815,CHESHUNT,CHN,Anglia
51939,CHESHUNT JN SIG L1395,,Anglia
87405,CHESSINGTON NORTH,CSN,Wessex
87411,CHESSINGTON SOUTH,CSS,Wessex
40320,CHESTER,CTR,LNW
40306,CHESTER BALLAST HOLE SDGS,,LNW
40312,CHESTER BROOK LANE SDG CE,,LNW
40307,CHESTER BROOK LANE SDG S&T,,LNW
40301,CHESTER C.W.M.D.,,LNW
40304,CHESTER D.M.U.D.,XCH,LNW
40319,CHESTER EAST JN.,,LNW
40305,CHESTER NORTH JN.,,LNW
65605,CHESTER ROAD,CRD,LNW
40314,CHESTER SIG. CR97,,LNW
40313,CHESTER SIG.CR106,,LNW
40238,CHESTER SOUTH JN.,,LNW
40303,CHESTER WEST JN.,,LNW
27263,CHESTERFIELD,CHD,LNE
27265,CHESTERFIELD SOUTH JN,,LNE
13571,CHESTER-LE-STREET,CLS,LNE
47104,CHESTERTJ,,Anglia
47108,CHESTERTON AFL 1,,Anglia
47109,CHESTERTON AFL 2,,Anglia
47101,CHESTERTON JN,,Anglia
47106,CHESTERTON JN. BALLAST,,Anglia
47103,CHESTERTON JUNCTION FHH,,Anglia
47107,CHESTERTON JUNCTION GBRF,,Anglia
47099,CHESTERTON JUNCTION YD NTH,,Anglia
47105,CHESTERTON REDLAND SIDING,,Anglia
89486,CHESTFIELD & SWALECLIFFE,CSW,Kent
27271,CHESTRFD,,LNE
82315,CHETNOLE,CNO,Western
46218,CHETTISHAM,,Anglia
12116,CHEVINGTON LOOP,,LNE
86424,CHICHESTER,CCH,Sussex
86427,CHICHESTER OIL SIDINGS,,Sussex
86426,CHICHESTER RECEPTION NO 2,,Sussex
86425,CHICHESTER RECP.,,Sussex
89443,CHILHAM,CIL,Kent
62415,CHILTERN GREEN,,East Midlands
87082,CHILWORTH,CHL,Wessex
52731,CHINGFORD,CHI,Anglia
52730,CHINGFORD C.S.D.,,Anglia
52728,CHINGFORD LONDON END SDGS,,Anglia
34001,CHINLEY,CLY,LNW
33998,CHINLEY EAST JN,,LNW
34002,CHINLEY NORTH JN,,LNW
33999,CHINLEY SOUTH JN,,LNW
75352,CHIPPENHAM,CPM,Western
46277,CHIPPENHAM JN,,Anglia
81011,CHIPPING SODBURY,,Western
87710,CHIPSTEAD,CHP,Sussex
41407,CHIRK,CRK,Wales
41405,CHIRK C,,Wales
41406,CHIRK KRONOSPAN,,Wales
41402,CHIRK KRONOSPAN COLAS RAIL,,Wales
88483,CHISLEHURST,CIT,Kent
87148,CHISWICK,CHK,Wessex
50060,CHITTS HILL,,Anglia
74301,CHOLSEY,CHO,Western
30213,CHORLEY,CRL,LNW
30202,CHORLEY R.O.F.,,LNW
70368,CHORLEYWOOD,CLW,LUL
86915,CHRISTCHURCH,CHR,Wessex
52707,CHRISTIAN STREET JN.,,Anglia
12110,CHRISTON BANK,,LNE
87948,CHRISTS HOSPITAL,CHH,Sussex
89741,CHRTNESDG,,Kent
47102,CHSTRTNJ,,Anglia
29063,CHURCH & OSWALDTWISTLE,CTW,LNW
70095,CHURCH BRAMPTON,,LNW
16495,CHURCH FENTON,CHF,LNE
50225,CHURCH LANE L XING,,Anglia
89534,CHURCH PATH PIT SDGS,,HS1
64241,CHURCH STRETTON,CTT,Wales
63626,CHURCHYARD SDGS CASTLE CEM,XYR,East Midlands
63625,CHURCHYARD SDGS TARMAC,,East Midlands
79085,CILMERI,CIM,Wales
87244,CITY THAMESLINK,CTK,Sussex
87240,CITY THAMESLINK SIG VC664,,Sussex
4814,CKNZIETXP,,Scotland
1090,CLACHNAHARRY,,Scotland
50022,CLACTON C.S.D.,XLC,Anglia
50021,CLACTON-ON-SEA,CLT,Anglia
87069,CLANDON,CLA,Wessex
11565,CLAPHAM (NTH YORKSHIRE),CPY,LNW
87209,CLAPHAM HIGH STREET,CLP,Sussex
87206,CLAPHAM JN PIG HILL SDGS,,Sussex
87223,CLAPHAM JN SIGNAL W1047,,Sussex
87218,"CLAPHAM JN, KENSINGTON SDG",,Wessex
87219,CLAPHAM JUNCTION,CLJ,Wessex
87224,CLAPHAM JUNCTION SIG VC147,,Sussex
87221,CLAPHAM YARD,XYM,Wessex
52735,CLAPTON,CPT,Anglia
51938,CLAPTON JN,,Anglia
80199,CLARBESTON ROAD,CLR,Wales
26209,CLARBOROUGH JN,,LNE
14226,CLARENCE ROAD JN.,,LNE
7615,CLARKSTON,CKS,Scotland
66455,CLAVERDON,CLV,LNW
44042,CLAXBY & USSELBY,,LNE
56101,CLAY CROSS NORTH JN,,East Midlands
56099,CLAY CROSS SIDINGS,,East Midlands
56102,CLAY CROSS SOUTH JN,,East Midlands
57606,CLAY MILLS JN,,East Midlands
49022,CLAYDN,,Anglia
49024,CLAYDON,,Anglia
70311,CLAYDON L.N.E. JN.,,LNW
87189,CLAYGATE,CLG,Wessex
44365,CLAYPOLE LOOP,,LNE
18481,CLAYTON WEST JUNCTION,,LNE
21141,CLEETHORPES,CLE,LNE
7430,CLELAND,CEA,Scotland
7433,CLELAND C.E.,,Scotland
15873,CLEVELAND BRIDGE & ENG,,LNE
88735,CLIFFE BRETT MARINE,XLF,Kent
58121,CLIFFE HILL SDGS,,East Midlands
58132,CLIFFE HILL STUD FARM GBRF,,East Midlands
58134,CLIFFE HILL STUD FM QUARRY,,East Midlands
58133,CLIFFE HILL STUD FM TARMAC,,East Midlands
14238,CLIFFE HOUSE JN.,,LNE
88737,CLIFFE SIGNAL NK509,,Kent
43215,CLIFFE VALE,,LNW
31565,CLIFTON,CLI,LNW
9315,CLIFTON & LOWTHER,,LNW
81259,CLIFTON DOWN,CFN,Western
82200,CLINK ROAD JN,,Western
28210,CLIPSTONE COLLIERY (FHH),,LNE
28209,CLIPSTONE COLLIERY JCN,,LNE
28405,CLIPSTONE EAST JN,,LNE
28211,CLIPSTONE RJB MINING,,LNE
28219,CLIPSTONE SOUTH JN,,LNE
28326,CLIPSTONE WEST JN,,LNE
29143,CLITHEROE,CLH,LNW
29141,CLITHEROE CASTLE CEMENT,,LNW
88319,CLOCK HOUSE,CLK,Kent
9015,CLOSEBURN (DUMFRIES),,Scotland
80305,CLUNDERWEN,CUW,Wales
1093,CLUNES I.B.,,Scotland
3257,CLUNYBRIDGE JN,XCJ,Scotland
6345,CLYDEBANK,CYK,Scotland
80410,CMTHEN WAREHOUSING UP SDG,,Wales
68141,COALEY JN,,Western
58105,COALVILLE JN,,East Midlands
7319,COATBGFLT,,Scotland
7309,COATBRIDGE (DRS),,Scotland
7312,COATBRIDGE CENTRAL,CBC,Scotland
7310,COATBRIDGE D.G.L.,,Scotland
7311,COATBRIDGE F.L.T.,,Scotland
7315,COATBRIDGE JN,,Scotland
7318,COATBRIDGE SIGNAL M250,,Scotland
7313,COATBRIDGE SIGNAL M253,,Scotland
7320,COATBRIDGE SIGNAL M254,,Scotland
7331,COATBRIDGE SUNNYSIDE,CBS,Scotland
7329,COATDYKE,COA,Scotland
56131,COATES PARK,,East Midlands
4108,COBBINSHAW,,Scotland
87074,COBHAM & STOKE D'ABERNON,CSD,Wessex
4842,COCKBURNPATH,,Scotland
4815,COCKENZIE POWER STN,,Scotland
4816,COCKENZIE POWER STN FHH,,Scotland
4807,COCKENZIE SIG EA833,,Scotland
4808,COCKENZIE YARD,,Scotland
79323,COCKETT WEST,,Wales
43220,COCKSHUTE SDGS,,LNW
56511,CODNOR PARK JN,,East Midlands
56512,CODNOR PARK SOUTH SDGS,,East Midlands
56515,CODNOR PK F&M FHH,,East Midlands
56514,CODNOR PK FRG & MNMNT SDG,,East Midlands
65034,CODSALL,CSL,LNW
66523,COFTON JN,,LNW
78711,COGAN,CGN,Wales
78709,COGAN JN,,Wales
83010,COGLOAD JN,,Western
87790,COLASRAIL,,Sussex
50049,COLCHESTER,COL,Anglia
50036,COLCHESTER EAST GATE JN,,Anglia
50052,COLCHESTER GOODS LOOP,,Anglia
50048,COLCHESTER L.I.P.,XTC,Anglia
49299,COLCHESTER SIGNAL 196,,Anglia
50050,COLCHESTER SIGNAL 750,,Anglia
49305,COLCHESTER SIGNAL 751,,Anglia
50037,Colchester Signal CO1033,,Anglia
50038,COLCHESTER SIGNAL CO1072,,Anglia
50039,COLCHESTER SIGNAL CO16,,Anglia
50053,COLCHESTER SUDBURY DOCK,,Anglia
50051,COLCHESTER T.C.,XLP,Anglia
50041,COLCHESTER TOWN,CET,Anglia
50054,COLCHESTER UP PASSNGR LOOP,,Anglia
46148,COLDHAM,,Anglia
47213,COLDHAM LANE JN,,Anglia
83323,COLEFORD (NR/DR BOUNDARY),,Western
64227,COLEHAM ISU (CE),,Wales
66231,COLESHILL,,LNW
66232,COLESHILL D.C.L.,,LNW
66230,COLESHILL PARKWAY,CEH,LNW
44077,COLLINGHAM,CLM,LNE
88274,COLLINGTON,CLL,Sussex
31341,COLLYHURST ST. TILCON,,LNW
31342,COLLYHURST STREET,,LNW
73789,COLNBRKRP,,Western
73790,COLNBROOK BAA LOGISTICS,,Western
73792,COLNBROOK BCI,,Western
73786,COLNBROOK ELF OIL SIDING,,Western
73788,COLNBROOK FOSTER YEOMAN,,Western
73791,COLNBROOK LAFARGE FLINE HH,,Western
29030,COLNE,CNE,LNW
7939,COLTNESS COSTAIN,,Scotland
16460,COLTON JN,,LNE
16461,COLTON NORTH JN,,LNE
16491,COLTON SOUTH JN,,LNE
67217,COLWALL,CWL,Western
43328,COLWICH,XCO,LNW
40071,COLWYN BAY,CWB,Wales
74452,COMBE,CME,Western
15513,COMMONDALE,COM,LNE
64235,CONDOVER,,Wales
759,CONFLANSJ,,Non Britain
43013,CONGLETON,CNG,LNW
24221,CONISBROUGH,CNS,LNE
6047,CONLFERY,,Scotland
6046,CONNEL FERRY,CON,Scotland
45177,CONNINGTON LOOP,,LNE
45173,CONNINGTON SOUTH JN,,LNE
45176,CONNINGTON TIP,,LNE
45175,CONNINGTON TIP (FLHH),,LNE
17008,CONONLEY,CEY,LNE
89732,CONTINENTAL JUN,,Kent
38157,CONWAY PARK,CNP,LNW
40045,CONWY,CNW,Wales
88269,COODEN BEACH,COB,Sussex
74013,COOKHAM,COO,Western
88211,COOKSBRIDGE,CBR,Sussex
84415,COOMBE JUNCTION HALT,COE,Western
84419,COOMBE NO. 1 G.F.,,Western
54315,COPENHAGEN JUNCTION,,LNE
17152,COPLEY HILL WEST JCN,,LNE
51936,COPPERMILL JN SIG L1005,,Anglia
51937,COPPERMILL JUNCTION,XMI,Anglia
83238,COPPLESTONE,COP,Western
29004,COPY PIT,,LNW
87966,COPYHOLD JN,,Sussex
13318,CORBRIDGE,CRB,LNE
60012,CORBY B.S.C.,,East Midlands
60014,CORBY BSC AUTOMOTIVE TERML,,East Midlands
13297,CORBY GATES S.B.,,LNE
60015,CORBY HUB,,East Midlands
60009,CORBY NORTH JUNCTION,,East Midlands
60010,CORBY NORTH RUN-ROUND LOOP,,East Midlands
60013,CORBY PS,,East Midlands
60017,CORBY SIGNAL MJ24,,East Midlands
60011,CORBY.,COR,East Midlands
60016,CORBYHBRP,,East Midlands
7124,CORKERHILL,CKH,Scotland
7125,CORKERHILL C.S.M.D.,XCK,Scotland
7126,CORKERHILL DEPOT JN,,Scotland
10124,CORKICKLE,CKL,LNW
10123,CORKLE YD,,LNW
10128,CORKLECAU,,LNW
10125,CORKLECLI,,LNW
33090,CORNBROOK JN,,LNW
3167,CORNTON LEVEL CROSSSING,,Scotland
6010,CORPACH,CPA,Scotland
6012,CORPACH FLT,,Scotland
6011,CORPACH PULP MILL,,Scotland
6031,CORROUR,CRR,Scotland
6032,CORROUR C.E.,,Scotland
75357,CORSHAM,,Western
78381,CORYTON,COY,Wales
51102,CORYTON THAMES HAVEN TC,,Anglia
65807,COSELEY,CSY,LNW
65023,COSFORD,COS,LNW
65024,COSFORD DOWN GOODS LOOP,,LNW
65026,COSFORD TAMPER SIDING,,LNW
65025,COSFORD UGL,,LNW
86301,COSHAM,CSA,Wessex
86302,COSHAM JN,,Wessex
64201,COTON HILL DBS,,Wales
64200,COTON HILL T.C.,,Wales
67360,COTSWOLDR,,Western
26212,COTTAM MAINLINE C&W,,LNE
26211,COTTAM POWER STATION,,LNE
26215,COTTAM POWER STATION (FHH),,LNE
26216,COTTAM POWER STATION GBRF,,LNE
19031,COTTINGHAM,CGM,LNE
17143,COTTINGLEY,COT,LNE
26217,COTTMWRCS,,LNE
87899,COULSDON NORTH GRND FRAME,,Sussex
87900,COULSDON SOUTH,CDS,Sussex
87713,COULSDON TOWN,,Sussex
69115,COUNDON RD LC,,LNW
79595,COURT SART JN,,Wales
88446,COURTHILL LOOP JUN,,Kent
2110,COVE BAY,,Scotland
7994,COVE LEVEL CROSSING,,Scotland
7988,COVE SIGNAL MC862,,Scotland
69202,COVENTRY,COV,LNW
69203,COVENTRY CE SDGS,,LNW
69204,COVENTRY NORTH JN,,LNW
69205,COVENTRY PARK JN,,LNW
69111,COVENTRY PROLOGIS PARK,,LNW
69206,COVENTRY SIG LC6517,,LNW
69201,COVENTRY YARD,,LNW
69200,COVENTRY YARD (EWS),,LNW
49009,COW GREEN CROSSOVER,,Anglia
79790,COWBRIDGE ROAD S.B.,,Wales
87761,COWDEN,CWN,Sussex
3256,COWDENBEATH,COW,Scotland
3259,COWDENBEATH SIG EC941,,Scotland
6420,COWLAIRS D.P.L.,,Scotland
6423,COWLAIRS EAST JN,,Scotland
6416,COWLAIRS NORTH JN,,Scotland
6422,COWLAIRS SIGNALBOX,,Scotland
6419,COWLAIRS SOUTH JN,,Scotland
6421,COWLAIRS WEST JN,,Scotland
83398,COWLEY BRIDGE JN,,Western
35401,COWLEY HILL,,LNW
1130,CRADLEHALL,,Scotland
65927,CRADLEY HEATH,CRA,LNW
15683,CRAG HALL S.B.,,LNE
12104,CRAG MILL LOOP,,LNE
6111,CRAIGENDORAN,CGD,Scotland
6112,CRAIGENDORAN JN,,Scotland
6110,CRAIGENDORAN JN C.E.,,Scotland
6114,CRAIGENDORAN YC963 SIG,,Scotland
4522,CRAIGENTINNY GNER FHH,,Scotland
4517,CRAIGENTINNY SIG EP860,,Scotland
4521,CRAIGENTINNY T.&R.S.M.D,XCN,Scotland
2107,CRAIGINCHES SOUTH,,Scotland
4689,CRAIGLOCKHART JN,,Scotland
3003,CRAIGO C.E.,,Scotland
3005,CRAIGO_CROSSOVER,,Scotland
12136,CRAMLINGTON,CRM,LNE
82247,CRANMORE,,Western
89324,CRANMORE DOWN LOOP,,Kent
76379,CRAVEN ARMS,CRV,Wales
76380,CRAVEN ARMS SIGNAL CA16,,Wales
76381,CRAVEN ARMS UP SIDINGS,,Wales
87931,CRAWLEY,CRW,Sussex
88002,CRAWLEY FOSTER YEOMAN,,Sussex
88003,CRAWLEY NEW YARD,XYC,Sussex
88005,CRAWLEY NEW YARD R.M.C.,,Sussex
88464,CRAYFORD,CRY,Kent
88465,CRAYFORD CREEK JN,,Kent
88497,CRAYFORD SIGNAL NK1542,,Kent
88389,CRAYFORD SPUR,,Kent
88440,CRAYFORD SPUR A,,Kent
88436,CRAYFORD SPUR B,,Kent
83321,CREDITON,CDI,Western
83320,CREDITONS,,Western
50206,CRESSING,CES,Anglia
36088,CRESSINGTON,CSG,LNW
43505,CRESSWELL,,LNW
28001,CRESWELL (DERBYS),CWD,LNE
42140,CREWE,CRE,LNW
42900,CREWE 00,,LNW
42950,CREWE 50,,LNW
42960,CREWE 60,,LNW
42980,CREWE 80,,LNW
42990,CREWE 90,,LNW
42159,CREWE BAS HALL S.S.M.,XXM,LNW
42155,CREWE BASFORD HALL JN,,LNW
42142,CREWE C.E.T. SDGS,,LNW
42145,CREWE C.S.,XCR,LNW
42148,CREWE C.S. (L&NWR SITE),,LNW
42138,CREWE COAL SIDINGS (DRS),,LNW
42128,CREWE COAL YARD,,LNW
42144,CREWE DOWN REFUGE SIDING,,LNW
42124,CREWE ELECTRIC MD,,LNW
42137,CREWE F.P.,,LNW
42163,CREWE FLINER TERMINAL,,LNW
42152,CREWE GRESTY BDGE SDGS VWR,,LNW
42162,CREWE GRESTY BRIDGE (DRS),,LNW
42171,CREWE GRESTY GREEN,,LNW
42170,CREWE GRESTY GREEN UP LOOP,,LNW
42166,CREWE GRESTY LANE,,LNW
42160,CREWE GRESTY LANE RECP.,,LNW
42136,CREWE H.S.,,LNW
42125,CREWE HERITAGE CENTRE,,LNW
42129,CREWE HERITAGE CENTRE G.F.,,LNW
42126,CREWE NORTH JN,,LNW
42168,CREWE P.A.D.,,LNW
42130,CREWE SALOP GOODS JN,,LNW
42122,CREWE SIG. CE142,,LNW
42146,CREWE SIG. CE551,,LNW
42179,CREWE SIG.CE543,,LNW
42180,CREWE SIG.NH19,,LNW
42181,CREWE SIG.NH43/44,,LNW
42157,CREWE SIGNAL BH34,,LNW
42156,CREWE SIGNAL BH36,,LNW
42147,CREWE SOUTH JN,,LNW
42141,CREWE SOUTH YARD,XCT,LNW
42139,CREWE SSN SIGNAL BOX,,LNW
42117,CREWE STEEL WORKS,,LNW
42165,CREWE STEVENTON BULK STORE,,LNW
42143,CREWE STH JN NTH STAFF J,,LNW
42015,CREWE SYDNEY BRIDGE,,LNW
42123,CREWE T.M.D. (E),,LNW
42127,CREWE THOMAS STREET C.C.E.,,LNW
42135,CREWE TMD (D),,LNW
42151,CREWE UP & DN POTTERY LP,,LNW
42016,CREWE UP MANCHESTER LOOP,,LNW
42158,CREWE VIRTUAL QUARRY,,LNW
42121,CREWE WORKS,,LNW
42149,CREWECSWK,,LNW
83470,CREWKERNE,CKN,Western
42178,CREWPADRP,,LNW
53246,CREWS HILL,CWH,LNE
20059,CREYKES,,LNE
6058,CRIANLARICH,CNR,Scotland
6057,CRIANLARICH C.E.,,Scotland
6063,CRIANLARICH DOWN SDG AMEC,,Scotland
6054,CRIANLARICH DOWN SIDINGS,,Scotland
6056,CRIANLARICH LOWER,,Scotland
64503,CRICCIETH,CCC,Wales
70079,CRICK GF,,LNW
63405,CRICKLEWOOD,CRI,East Midlands
63401,CRICKLEWOOD CURVE JN,,East Midlands
63400,CRICKLEWOOD DEPOT,,East Midlands
63402,CRICKLEWOOD DEPOT JN,,East Midlands
63410,CRICKLEWOOD F/L HEAVY HAUL,,East Midlands
63412,CRICKLEWOOD LAFARGE,,East Midlands
63408,CRICKLEWOOD N.L.F.C.,,East Midlands
63404,CRICKLEWOOD R.T.S.,,East Midlands
63300,CRICKLEWOOD RECESS SDG,,East Midlands
63298,CRICKLEWOOD SCS (GBRF),,East Midlands
63297,CRICKLEWOOD SIGNAL 539,,East Midlands
63406,CRICKLEWOOD SOUTH JN,,East Midlands
63301,CRICKLEWOOD U.G.L.,,East Midlands
63299,CRICKLWOOD REC SDGS GBRF,,East Midlands
63409,CRICKWDCW,,East Midlands
63411,CRICKWDRP,,East Midlands
63407,CRICKWOOD,,East Midlands
89554,CRISMILL CROSSOVER,XXG,HS1
11555,CRNFTHEJN,,LNW
48224,CRNPT FR,,Anglia
41139,CROES NEWYDD,,Wales
41131,CROES NEWYDD NORTH FORK,XNF,Wales
59313,CROFT,,East Midlands
59312,CROFT QRY,,East Midlands
59311,CROFT QUARRY,,East Midlands
59309,CROFT QUARRY FLHH,,East Midlands
59310,CROFT QUARRY GBRF,,East Midlands
7555,CROFTFOOT,CFF,Scotland
18035,CROFTON DEPOT,XRF,LNE
18034,CROFTON EAST JN,,LNE
18033,CROFTON EAST SPUR,,LNE
88467,CROFTON PARK,CFT,Kent
87604,CROFTON ROAD JN,,Sussex
18037,CROFTON WEST JN,,LNE
3341,CROMBIE R.N.A.D.,,Scotland
48007,CROMER,CMR,Anglia
57009,CROMFORD,CMF,East Midlands
7118,CROOKSTON,CKT,Scotland
69418,CROPREDY,,LNW
9431,CROSBY GARRETT,,LNW
17112,CROSS GATES,CRG,LNE
76632,CROSS KEYS,CKY,Wales
76633,CROSS KEYS JCN,,Wales
17014,CROSSFLATTS,CFL,LNE
7573,CROSSHILL,COI,Scotland
7229,CROSSMYLOOF,CMY,Scotland
30153,CROSTON,CSO,LNW
51563,CROUCH HILL,CRH,Anglia
35124,CROW NEST JN,,LNW
87766,CROWBOROUGH,COH,Sussex
89399,CROWHURST,CWU,Kent
23003,CROWLE,CWE,LNE
87006,CROWTHORNE,CRN,Wessex
48523,CROXTON AHB,,Anglia
6457,CROY,CRO,Scotland
87280,CROYDON,,Sussex
87290,CROYDON,,Sussex
85405,CRUGWALLINS SIDINGS,,Western
79499,CRYNANT,,Wales
87625,CRYSTAL PALACE,CYP,Sussex
87632,CRYSTAL PALACE VC167,,Sussex
87623,CRYSTAL PALACE VC170,,Sussex
9151,CSLEKMYD,,LNW
9172,CSLELRD B,,LNW
9175,CSLELRD M,,LNW
9174,CSLELRD W,,LNW
9158,CSLEOCMP,,LNW
31043,CSTLTN RP,,LNW
31040,CSTLTN US,,LNW
37069,CUDDINGTON,CUD,LNW
53245,CUFFLEY,CUF,LNE
9419,CULGAITH SIGNAL BOX LC,,LNW
74343,CULHAM,CUM,Western
1131,CULLODEN,,Scotland
83111,CULLOMPTON,,Western
769,CULMONT-CHALINDREY,,Non Britain
1037,CULRAIN,CUA,Scotland
7301,CUMBERNAULD,CUB,Scotland
7300,CUMBERNAULD D.R.S.,,Scotland
9205,CUMMERSDALE VIADUCT,,LNW
3205,CUPAR,CUP,Scotland
3204,CUPAR DOWN SIDING,,Scotland
65321,CURBOROUGH JN,,LNW
4114,CURRIEHILL,CUH,Scotland
9190,CURROCK JN,,LNW
9191,CURROCK W.R.D.,,LNW
51108,CURRY MARSH,,Anglia
51107,CURRY MARSH SIDINGS,,Anglia
52255,CUSTOM HOUSE,CUS,Anglia
89302,CUXTON,CUX,Kent
78110,CWMBACH,CMH,Wales
78324,CWMBARGD,,Wales
78323,CWMBARGOED,,Wales
78321,CWMBARGOED OPENCAST COLLY.,,Wales
76239,CWMBRAN,CWM,Wales
78322,CWMBRGOD,,Wales
79520,CWMGWRACH,,Wales
79021,CWMMAWR OPENCAST,,Wales
79078,CYNGHORDY,CYN,Wales
51405,DAGDK DBS,,Anglia
51399,DAGDOCKCR,,Anglia
51401,DAGEHMDK,,Anglia
51402,DAGENHAM DOCK,DDK,Anglia
51406,DAGENHAM DOCK A.R.C.,,Anglia
51400,DAGENHAM DOCK RECEPTION,,Anglia
51403,DAGENHAM DOWN YARD,,Anglia
51361,DAGENHAM EAST,,Anglia
51359,DAGENHAM EAST L.T.,ZDE,Anglia
51398,DAGENHAM FORD MC SIG UR826,,Anglia
51412,DAGENHAM JUNCTION,XXH,HS1
51404,DAGENHAM STORAGE COY SDG,,Anglia
51410,DAGHMDOCK,,Anglia
51408,DAGNDKREP,,Anglia
51407,DAGNDOCK,,Anglia
51409,DAGNHDK,,Anglia
8640,DAILLY,,Scotland
83699,DAINTON TUNNEL,,Western
19168,DAIRYCOTS,,LNE
35141,DAISY HILL,DSY,LNW
29148,DAISYFIELD JN.,,LNW
1121,DALCROSS,,Scotland
36048,DALE LANE G.F.,,LNW
3298,DALGETY BAY,DAG,Scotland
35511,DALLAM FREIGHT DEPOT,,LNW
35509,DALLAM JUNCTION,,LNW
6053,DALMALLY,DAL,Scotland
6052,DALMALLY C.E.,,Scotland
7272,DALMARNOCK,DAK,Scotland
8636,DALMELLINGTON AYRSHIRE RPG,,Scotland
4201,DALMENY,DAM,Scotland
4202,DALMENY C.E.,,Scotland
4205,DALMENY D.P.L.,,Scotland
4203,DALMENY JN,,Scotland
4204,DALMENY U.P.L.,,Scotland
6211,DALMUIR,DMR,Scotland
6210,DALMUIR DOWN SIDING,,Scotland
6318,DALMUIR RIVERSIDE,,Scotland
6212,DALMUIR SIGNAL YY893,,Scotland
6209,DALMUIR SIGNAL YY898,,Scotland
3100,DALNACARDOCH,,Scotland
1157,DALNASPIDAL,,Scotland
6134,DALREOCH,DLR,Scotland
8101,DALRY,DLY,Scotland
8013,DALRY MAR,,Scotland
8012,DALRY ROCHE,,Scotland
